street,city,state,postal_code,latitude,longitude
"6211 N Decatur Blvd, Ste 140",Las Vegas,NV,89130,36.271616297907,-115.206870507567
"6630 North Durango Drive, Suite 120",Las Vegas,NV,89149,36.281608918056,-115.278617760245
"9911 S Eastern Ave, Ste 130",Las Vegas,NV,89183,36.010179309058,-115.117816664703
"410 Marks St, # 140",Henderson,NV,89014,36.056649289152,-115.037395281706
"358 W Lake Mead Pkwy, 150",Henderson,NV,89015,36.036103727113,-114.994279751923
3862 W Sahara Ave,Las Vegas,NV,89102,36.144557832641,-115.19183507902
"1291 S Decatur Blvd, #100",Las Vegas,NV,89102,,
"3820 West Lake Mead Blvd, Suite 110",North Las Vegas,NV,89032,36.198260529002,-115.189842752848
3531 S Rainbow Blvd,Las Vegas,NV,89103,36.124928673575,-115.243121462307
7175 Spring Mountain Rd,Las Vegas,NV,89117,36.125608932231,-115.248857911263
"2685 S Eastern Avenue, #100",Las Vegas,NV,89169,36.141702933806,-115.118817401237
2342 E Bonanza Rd,Las Vegas,NV,89101,36.173900164327,-115.11769849779
"8950 W Charleston Blvd, Suite 8",Las Vegas,NV,89117,36.159082023754,-115.290487810802
"2265 E Cheyenne Avenue, #110",North Las Vegas,NV,89030,36.217589716545,-115.118313503084
"1300 W Sunset Rd, Ste 2429",Henderson,NV,89014,36.06378888303,-115.040341953655
791 Marks St,Henderson,NV,89014,36.070830426588,-115.038562051255
"6087 South Pecos Road, Suite 103",Las Vegas,NV,89120,36.079333502528,-115.101009577327
1910 E Serene Ave,Las Vegas,NV,89123,36.020599029373,-115.126163613979
"5216 Boulder Hwy, #100 / C1",Las Vegas,NV,89122,36.109095343353,-115.060636949572
5101 S Pecos Rd,Las Vegas,NV,89120,36.097449953451,-115.101099592412
"4255 E Charleston Blvd, Ste A",Las Vegas,NV,89104,36.158811239864,-115.081673532635
"111 N Nellis Blvd, #120",Las Vegas,NV,89110,36.161763006487,-115.062353556956
"5011 Meadowood Mall Way, Ste 100",Reno,NV,89502,39.4741625577,-119.786445226392
"299 E Plumb Ln, Suite 107",Reno,NV,89502,39.505776287358,-119.800587660123
4835 Kietzke Ln,Reno,NV,89509,39.480389011216,-119.793433191009
495 Keystone Ave,Reno,NV,89503,39.52772878111,-119.82776683183
5315 Meadowood Mall Circle,Reno,NV,89502,,
551 E Prater Way,Sparks,NV,89431,39.541822647167,-119.736736548672
"131 Disc Drive, Ste 111",Sparks,NV,89436,39.576575018053,-119.742926349741
"57 Damonte Ranch Parkway, Unit B-C",Reno,NV,89521,39.419985257401,-119.754084618357
"280 Vista Knolls Pkwy, Ste 102",Reno,NV,89506,39.61711788778,-119.854711953911
"3790 US-395, Ste 304",Carson City,NV,89705,39.112069380617,-119.773487179754
700 Old Clear Creek Rd,Carson City,NV,89705,39.112685801125,-119.846887326706
"2525 Mountain City Hwy, Suite 108",Elko,NV,89801,40.838206548612,-115.791279375674
"2970 N Eagle Rd, Ste 104",Meridian,ID,83646,43.631493353148,-116.354342296003
2051 S Cole Rd,Boise,ID,83709,43.585460933945,-116.274218019584
"350 N Milwuakee St, #1020",Boise,ID,83704,43.608947171404,-116.284621071505
335 N Milwaukee St,Boise,ID,83704,43.608492940621,-116.284435377723
8180 W Overland Rd,Boise,ID,83709,43.590309350243,-116.283577630827
974 S Broadway Ave,Boise,ID,83706,43.601671084656,-116.19343927668
3642 S Findley Ave,Boise,ID,83705,43.569673878316,-116.188834882236
"6907 Strawberry Glen Rd, Ste 150",Boise,ID,83714,,
"3100 E Florence St, Ste 100",Meridian,ID,83642,43.616731000485,-116.356004212574
"2976 E State St, Ste 130",Eagle,ID,83616,43.683540694043,-116.316855864649
"1800 S Meridian Rd, Ste 100",Meridian,ID,83642,43.5890723449,-116.392720232378
"6233 N Linder Rd, Ste 110",Meridian,ID,83646,43.661389316058,-116.413800106188
700 E 17th St,Idaho Falls,ID,83404,43.482401313572,-112.020297693569
"2300 E 17th Street, 1217",Idaho Falls,ID,83404,43.482066863506,-111.988459027722
"3190 S 25th E, Ste B",Idaho Falls,ID,83404,43.468886642374,-111.984522604229
427 S Utah Ave,Idaho Falls,ID,83402,43.49300020844,-112.049140064225
"799 Cheney Dr, # 30B",Twin Falls,ID,83301,42.588575784604,-114.461647193171
"1485 Pole Line Rd East, 235",Twin Falls,ID,83301,42.592056279267,-114.45660767223
"142 Blue Lakes Blvd N, Spc 6",Twin Falls,ID,83301,42.564021919268,-114.460205667867
"2716 S Lincoln Ave, Ste C",Jerome,ID,83338,42.709413974959,-114.518452969996
355 E Neider Ave,Coeur D Alene,ID,83815,47.708038032296,-116.781887637562
"3134 E Mullan Ave, Ste F",Post Falls,ID,83854,47.715830496797,-116.905900350298
"3500 N Government Way, Ste 104",Coeur D'alene,ID,83815,47.709453175856,-116.786385387593
285 W Hayden Ave,Hayden,ID,83835,47.759083132752,-116.790056902883
305 W Quinn Rd,Pocatello,ID,83201,42.905745634145,-112.454522039024
1215 Parkway Drive,Blackfoot,ID,83221,43.196533972894,-112.358253115808
1799 Hurley Dr,Pocatello,ID,83202,42.907514428169,-112.460421149109
16700 N Market Place Blvd,Nampa,ID,83687,43.614090535291,-116.59153597595
16549 N Marketplace Blvd,Nampa,ID,83687,43.614132459467,-116.591906057821
5838 E Franklin Rd,Nampa,ID,83687,43.605105369689,-116.510411500804
2312 12th Ave,Nampa,ID,83686,43.546922975416,-116.572531105594
"5205 Cleveland Blvd, #102",Caldwell,ID,83607,43.626102511101,-116.633121603864
"1325 21st St, Ste B",Lewiston,ID,83501,46.406959881931,-117.00188238844
1956 W Pullman Rd,Moscow,ID,83843,46.732628535083,-117.027003599585
